gene_id	R1_1	R2_1	R3_1	R4_1	R6_1	RG1_1	RG3_1	RG4_1	RG5_1	RG6_1	RY1_1	RY3_1	RY4_1	RY5_1	RY6_1	R1_2	R2_2	R4_2	R6_2	RG1_2	RG2_2	RG3_2	RG4_2	RG6_2	RY1_2	RY2_2	RY3_2	RY5_2	RY7_2	R1_3	R2_3	R3_3	R5_3	R6_3	R7_3	RG1_3	RG2_3	RG3_3	RG4_3	RG6_3	RY3_3	RY4_3	RY5_3	RY6_3	RY7_3	B2_1	B3_1	B4_1	B5_1	B6_1	BG1_1	BG2_1	BG3_1	BG4_1	BG5_1	BY1_1	BY2_1	BY3_1	BY4_1	BY5_1	B1_2	B2_2	B3_2	B4_2	B5_2	BG1_2	BG2_2	BG3_2	BG4_2	BG5_2	BY1_2	BY2_2	BY4_2	BY5_2	B1_3	B2_3	B3_3	B4_3	B5_3	BG1_3	BG2_3	BG3_3	BG5_3	BG6_3	BY1_3	BY2_3	BY3_3	BY4_3	BY5_3	BY6_3
patho_DN100004_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	3.00	28.00	25.00	3.00	3.00	31.00	19.00	4.00	16.00	3.00	8.00	6.00	0.00	234.00	192.00	5.00	108.00	2.00	154.00	62.00	70.00	139.00	30.00	39.00	144.00	91.02	126.00	109.00	102.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	1.00	0.00	0.00	10.00	4.00	0.00	0.00	11.00	3.00	11.00	2.00	0.00	4.00	30.00	29.00	41.00	16.00	34.00	49.00	15.00	368.00	13.00	165.00	74.00	61.00	2.00	34.00	143.00	268.00
patho_DN100123_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	13.00	12.00	29.00	8.00	11.00	10.00	18.00	7.00	13.00	8.00	11.00	70.00	19.00	1.00	0.00	9.00	0.00	0.00	4.00	0.00	0.00	0.00	1.00	6.00	0.00	0.00	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	50.00	15.00	5.00	12.00	7.21	74.00	35.00	59.00	18.00	12.00	24.00	62.00	40.00	82.00	4.00	2.00	4.00	3.00	5.00	1.00	2.00	2.00	0.00	32.00	0.00	0.00	48.00	0.00	0.00	6.00
patho_DN100299_c1_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	17.00	28.00	19.00	4.00	11.00	41.00	25.00	9.00	18.00	2.00	6.00	27.00	0.00	59.00	75.00	16.00	46.96	0.00	54.00	39.02	12.00	61.00	13.00	19.00	39.00	49.00	24.00	34.00	34.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	2.00	0.00	0.00	14.00	4.00	1.00	2.00	24.00	8.00	21.00	3.00	0.00	18.00	16.00	22.00	24.00	8.00	10.00	19.00	9.00	219.00	5.00	94.00	43.00	13.00	7.00	6.00	41.00	68.00
patho_DN100363_c1_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	3.00	22.00	9.94	5.00	2.00	32.00	7.00	5.00	2.00	9.00	3.00	14.00	0.00	49.00	63.00	7.00	60.07	2.00	46.00	30.00	14.00	53.00	21.00	8.00	28.00	54.00	28.00	30.00	30.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	2.00	0.00	1.00	4.00	0.00	1.00	0.00	7.00	3.00	18.00	2.00	0.00	4.00	13.00	9.00	13.00	5.00	12.00	20.00	9.00	234.00	2.00	102.00	41.00	16.00	2.00	11.00	46.00	80.00
patho_DN100375_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	2.00	30.00	33.00	5.00	3.00	21.00	11.00	6.00	11.00	1.00	7.00	14.00	3.00	104.00	68.00	8.00	137.00	2.00	86.00	53.00	34.00	110.00	48.00	30.00	92.00	79.00	47.00	52.00	46.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	0.00	0.00	1.00	8.00	4.00	0.00	0.00	3.00	3.00	8.00	6.00	0.00	5.00	16.00	18.00	54.00	8.00	41.00	32.00	15.00	352.00	4.00	97.00	66.00	38.00	0.00	17.00	100.00	160.00
patho_DN100420_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	16.00	8.00	48.00	72.00	6.00	2.00	32.00	9.00	5.00	11.00	10.00	11.00	19.00	10.00	75.00	102.00	23.00	176.00	4.00	119.00	77.00	39.00	169.00	40.00	37.00	160.00	90.00	54.00	74.00	74.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.00	0.00	2.00	16.00	6.00	0.00	0.00	1.00	5.00	29.00	14.00	0.00	2.00	29.00	69.00	83.00	28.00	44.00	37.00	27.00	502.00	8.00	147.00	128.00	77.00	0.00	28.00	101.00	137.00
patho_DN100420_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	10.00	27.00	32.00	1.00	3.00	17.00	8.00	2.00	9.00	4.00	8.00	12.00	2.00	47.00	50.00	5.00	109.00	2.00	64.00	30.00	17.00	87.00	28.00	29.00	78.00	47.00	22.00	30.00	41.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	13.00	0.00	0.00	0.00	0.00	3.00	8.00	8.00	0.00	1.00	14.00	28.00	47.00	8.00	18.00	24.00	13.00	284.00	6.00	63.00	54.00	36.00	1.00	11.00	40.00	59.00
patho_DN100446_c0_g4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	3.00	38.00	17.00	3.00	5.00	32.00	23.00	10.00	8.00	7.00	8.00	9.00	3.00	57.00	68.00	10.00	58.00	3.00	44.00	35.00	26.00	52.00	18.00	9.00	56.00	34.00	32.00	37.00	57.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	1.00	0.00	0.00	10.00	2.00	0.00	0.00	6.00	10.00	20.00	7.00	0.00	10.00	12.00	16.00	29.00	11.00	14.00	22.00	15.00	293.00	4.00	54.00	35.00	19.00	2.00	13.00	35.00	82.00
patho_DN100452_c0_g3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	5.00	17.00	11.00	1.00	3.00	28.00	10.00	3.00	2.00	2.00	1.00	13.00	0.00	44.00	56.00	2.00	41.00	0.00	62.00	24.00	20.00	44.00	9.00	11.00	40.00	45.00	22.00	19.00	15.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11.00	0.00	0.00	0.00	4.00	11.00	0.00	1.00	3.00	0.00	18.00	6.00	0.00	2.00	16.00	6.00	10.00	5.00	10.00	15.00	8.00	132.00	2.00	54.00	32.00	19.00	0.00	6.00	51.00	77.00
patho_DN100766_c0_g1	17.04	9.99	7.00	11.00	5.00	10.00	6.98	14.83	5.08	11.00	11.00	9.05	12.00	5.00	6.99	8.00	1.00	7.94	17.04	10.00	14.92	12.00	13.98	16.01	6.00	14.14	7.44	9.00	4.00	18.00	3.18	6.00	23.44	0.00	3.00	11.00	12.34	9.00	12.71	5.00	11.86	2.00	6.00	9.77	2.00	10.00	6.00	10.90	11.00	9.40	2.06	6.00	10.00	15.00	6.00	7.55	6.98	6.00	10.00	10.99	7.00	1.00	9.00	18.00	17.00	2.00	4.30	1.04	7.12	5.00	3.00	7.96	9.02	11.06	7.00	3.00	12.07	9.97	4.00	19.00	12.99	33.81	8.00	19.46	11.00	14.96	8.00	6.00	8.29	11.42
patho_DN100776_c0_g1	31.00	13.00	2.00	4.00	8.00	13.00	6.00	41.00	11.00	9.00	25.00	22.00	11.00	10.00	39.00	2.00	0.00	2.00	3.00	0.00	1.00	0.00	0.00	9.00	3.00	0.00	0.00	1.00	10.00	2.00	0.00	0.00	25.00	0.00	0.00	0.00	2.00	2.00	10.00	0.00	0.00	3.00	3.00	0.00	0.00	7.00	1.00	3.00	0.00	4.00	11.00	9.00	5.00	8.00	10.00	9.00	10.00	65.86	3.00	2.00	9.00	0.00	2.00	16.00	3.00	0.00	1.00	4.00	1.00	1.00	2.00	1.00	1.00	2.00	0.00	21.00	8.00	17.00	4.00	1.00	11.00	2.00	2.00	0.00	1.00	5.00	1.00	30.00	1.00	1.00
patho_DN100801_c0_g2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	3.00	18.00	13.00	5.00	5.00	23.00	10.00	8.00	5.00	1.00	4.00	8.00	1.00	73.00	61.00	5.00	47.00	0.00	35.00	31.00	18.00	47.00	13.00	15.00	22.00	44.00	21.00	32.00	31.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	6.00	0.00	0.00	1.00	5.00	0.00	14.00	6.00	0.00	1.00	10.00	10.00	19.00	1.00	11.00	16.00	3.00	245.00	3.00	71.00	42.00	9.00	1.00	8.00	38.37	54.00
patho_DN100815_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	18.00	7.00	69.00	44.00	2.00	6.00	68.00	38.00	17.00	36.00	7.00	16.00	20.00	10.00	105.00	125.00	12.00	73.00	3.00	94.00	52.00	34.00	179.00	36.00	22.00	75.00	101.00	52.00	80.00	77.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	1.00	0.00	0.00	18.00	0.00	0.00	1.00	6.00	10.00	25.00	12.00	0.00	12.00	15.00	49.00	58.00	14.00	47.00	40.00	17.00	289.00	12.00	130.00	77.00	56.00	6.00	23.00	59.00	98.00
patho_DN100816_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	6.00	6.00	6.00	3.00	11.00	6.00	8.00	1.00	8.00	8.00	12.00	2.00	7.00	10.78	10.90	10.00	32.00	0.00	8.00	15.00	9.00	12.00	7.00	8.00	15.00	25.00	22.00	27.74	28.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12.00	10.00	17.00	14.00	16.00	12.42	14.00	21.00	13.00	3.00	7.00	18.00	59.00	20.99	14.00	6.00	23.00	10.00	24.00	10.00	4.00	19.00	0.00	82.88	15.00	8.00	14.00	5.00	7.00	17.00
patho_DN100987_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	10.00	11.00	93.00	47.00	5.00	11.00	90.00	41.00	11.00	37.00	16.00	16.00	39.00	4.00	197.00	228.00	17.00	261.00	10.00	243.00	143.00	59.00	290.00	66.00	58.00	199.00	184.00	86.00	110.00	135.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	15.00	3.00	2.00	0.00	27.00	4.00	0.00	0.00	10.00	6.00	39.00	22.00	0.00	24.00	85.00	99.00	141.00	29.00	65.00	93.00	42.00	787.00	19.00	257.00	185.00	90.00	4.00	36.00	185.00	301.00
patho_DN101036_c0_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	15.00	63.00	33.00	7.00	10.00	76.00	38.00	18.00	21.00	7.00	9.00	33.00	4.00	139.93	139.59	21.00	117.94	2.00	102.94	64.00	43.00	129.95	52.00	17.39	106.00	148.00	54.78	43.00	61.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.00	2.00	0.00	0.00	16.00	11.00	1.00	0.00	26.00	11.00	39.00	12.00	1.00	10.00	40.00	34.00	60.00	21.00	37.00	87.00	18.00	777.75	15.00	237.77	100.00	48.00	6.00	23.00	90.00	150.00
